Date,Close,Date,Close,Date,Close
8/10/2023 16:00:00,177.97,8/10/2023 16:00:00,445.91,8/10/2023 16:00:00,368.59
8/11/2023 16:00:00,177.79,8/11/2023 16:00:00,445.65,8/11/2023 16:00:00,366.24
8/14/2023 16:00:00,179.46,8/14/2023 16:00:00,448.11,8/14/2023 16:00:00,370.35
8/15/2023 16:00:00,177.45,8/15/2023 16:00:00,442.89,8/15/2023 16:00:00,366.42
8/16/2023 16:00:00,176.57,8/16/2023 16:00:00,439.64,8/16/2023 16:00:00,362.54
8/17/2023 16:00:00,174,8/17/2023 16:00:00,436.29,8/17/2023 16:00:00,358.58
8/18/2023 16:00:00,174.49,8/18/2023 16:00:00,436.5,8/18/2023 16:00:00,358.13
8/21/2023 16:00:00,175.84,8/21/2023 16:00:00,439.34,8/21/2023 16:00:00,363.9
8/22/2023 16:00:00,177.23,8/22/2023 16:00:00,438.15,8/22/2023 16:00:00,363.38
8/23/2023 16:00:00,181.12,8/23/2023 16:00:00,443.03,8/23/2023 16:00:00,369.11
8/24/2023 16:00:00,176.38,8/24/2023 16:00:00,436.89,8/24/2023 16:00:00,361.22
8/25/2023 16:00:00,178.61,8/25/2023 16:00:00,439.97,8/25/2023 16:00:00,364.02
8/28/2023 16:00:00,180.19,8/28/2023 16:00:00,442.76,8/28/2023 16:00:00,366.76
8/29/2023 16:00:00,184.12,8/29/2023 16:00:00,449.16,8/29/2023 16:00:00,374.77
8/30/2023 16:00:00,187.65,8/30/2023 16:00:00,451.01,8/30/2023 16:00:00,376.86
8/31/2023 16:00:00,187.87,8/31/2023 16:00:00,450.35,8/31/2023 16:00:00,377.99
9/1/2023 16:00:00,189.46,9/1/2023 16:00:00,451.19,9/1/2023 16:00:00,377.59
9/5/2023 16:00:00,189.7,9/5/2023 16:00:00,449.24,9/5/2023 16:00:00,378.07
9/6/2023 16:00:00,182.91,9/6/2023 16:00:00,446.22,9/6/2023 16:00:00,374.74
9/7/2023 16:00:00,177.56,9/7/2023 16:00:00,444.85,9/7/2023 16:00:00,372.06
9/8/2023 16:00:00,178.18,9/8/2023 16:00:00,445.52,9/8/2023 16:00:00,372.58
9/11/2023 16:00:00,179.36,9/11/2023 16:00:00,448.45,9/11/2023 16:00:00,376.97
9/12/2023 16:00:00,176.3,9/12/2023 16:00:00,445.99,9/12/2023 16:00:00,372.79
9/13/2023 16:00:00,174.21,9/13/2023 16:00:00,446.51,9/13/2023 16:00:00,374.21
9/14/2023 16:00:00,175.74,9/14/2023 16:00:00,450.36,9/14/2023 16:00:00,377.27
9/15/2023 16:00:00,175.01,9/15/2023 16:00:00,443.37,9/15/2023 16:00:00,370.81
9/18/2023 16:00:00,177.97,9/18/2023 16:00:00,443.63,9/18/2023 16:00:00,370.66
9/19/2023 16:00:00,179.07,9/19/2023 16:00:00,442.71,9/19/2023 16:00:00,369.87
9/20/2023 16:00:00,175.49,9/20/2023 16:00:00,438.64,9/20/2023 16:00:00,364.54
9/21/2023 16:00:00,173.93,9/21/2023 16:00:00,431.39,9/21/2023 16:00:00,357.86
9/22/2023 16:00:00,174.79,9/22/2023 16:00:00,430.42,9/22/2023 16:00:00,357.91
9/25/2023 16:00:00,176.08,9/25/2023 16:00:00,432.23,9/25/2023 16:00:00,359.61
9/26/2023 16:00:00,171.96,9/26/2023 16:00:00,425.88,9/26/2023 16:00:00,354.21
9/27/2023 16:00:00,170.43,9/27/2023 16:00:00,426.05,9/27/2023 16:00:00,355.04
9/28/2023 16:00:00,170.69,9/28/2023 16:00:00,428.52,9/28/2023 16:00:00,358.01
9/29/2023 16:00:00,171.21,9/29/2023 16:00:00,427.48,9/29/2023 16:00:00,358.27
10/2/2023 16:00:00,173.75,10/2/2023 16:00:00,427.31,10/2/2023 16:00:00,361.26
10/3/2023 16:00:00,172.4,10/3/2023 16:00:00,421.59,10/3/2023 16:00:00,354.92
10/4/2023 16:00:00,173.66,10/4/2023 16:00:00,424.66,10/4/2023 16:00:00,359.75
10/5/2023 16:00:00,174.91,10/5/2023 16:00:00,424.5,10/5/2023 16:00:00,358.69
10/6/2023 16:00:00,177.49,10/6/2023 16:00:00,429.54,10/6/2023 16:00:00,364.7
10/9/2023 16:00:00,178.99,10/9/2023 16:00:00,432.29,10/9/2023 16:00:00,366.56
10/10/2023 16:00:00,178.39,10/10/2023 16:00:00,434.54,10/10/2023 16:00:00,368.59
10/11/2023 16:00:00,179.8,10/11/2023 16:00:00,436.32,10/11/2023 16:00:00,371.22
10/12/2023 16:00:00,180.71,10/12/2023 16:00:00,433.66,10/12/2023 16:00:00,369.93
10/13/2023 16:00:00,178.85,10/13/2023 16:00:00,431.5,10/13/2023 16:00:00,365.28
10/16/2023 16:00:00,178.72,10/16/2023 16:00:00,436.04,10/16/2023 16:00:00,369.41
10/17/2023 16:00:00,177.15,10/17/2023 16:00:00,436.02,10/17/2023 16:00:00,368.2
10/18/2023 16:00:00,175.84,10/18/2023 16:00:00,430.21,10/18/2023 16:00:00,363.37
10/19/2023 16:00:00,175.46,10/19/2023 16:00:00,426.43,10/19/2023 16:00:00,359.97
10/20/2023 16:00:00,172.88,10/20/2023 16:00:00,421.19,10/20/2023 16:00:00,354.6
10/23/2023 16:00:00,173,10/23/2023 16:00:00,420.46,10/23/2023 16:00:00,355.67
10/24/2023 16:00:00,173.44,10/24/2023 16:00:00,423.63,10/24/2023 16:00:00,359.13
10/25/2023 16:00:00,171.1,10/25/2023 16:00:00,417.55,10/25/2023 16:00:00,350.34
10/26/2023 16:00:00,166.89,10/26/2023 16:00:00,412.55,10/26/2023 16:00:00,343.66
10/27/2023 16:00:00,168.22,10/27/2023 16:00:00,410.68,10/27/2023 16:00:00,345.31
10/30/2023 16:00:00,170.29,10/30/2023 16:00:00,415.59,10/30/2023 16:00:00,349.2
10/31/2023 16:00:00,170.77,10/31/2023 16:00:00,418.2,10/31/2023 16:00:00,350.87
11/1/2023 16:00:00,173.97,11/1/2023 16:00:00,422.66,11/1/2023 16:00:00,356.96
11/2/2023 16:00:00,177.57,11/2/2023 16:00:00,430.76,11/2/2023 16:00:00,363.44
11/3/2023 16:00:00,176.65,11/3/2023 16:00:00,434.69,11/3/2023 16:00:00,367.71
11/6/2023 16:00:00,179.23,11/6/2023 16:00:00,435.69,11/6/2023 16:00:00,369.21
11/7/2023 16:00:00,181.82,11/7/2023 16:00:00,436.93,11/7/2023 16:00:00,372.7
11/8/2023 16:00:00,182.89,11/8/2023 16:00:00,437.25,11/8/2023 16:00:00,372.94
11/9/2023 16:00:00,182.41,11/9/2023 16:00:00,433.84,11/9/2023 16:00:00,370.07
11/10/2023 16:00:00,186.4,11/10/2023 16:00:00,440.61,11/10/2023 16:00:00,378.39
11/13/2023 16:00:00,184.8,11/13/2023 16:00:00,440.19,11/13/2023 16:00:00,377.21
11/14/2023 16:00:00,187.44,11/14/2023 16:00:00,448.73,11/14/2023 16:00:00,385.33
11/15/2023 16:00:00,188.01,11/15/2023 16:00:00,449.68,11/15/2023 16:00:00,385.62
11/16/2023 16:00:00,189.71,11/16/2023 16:00:00,450.23,11/16/2023 16:00:00,385.95
11/17/2023 16:00:00,189.69,11/17/2023 16:00:00,450.79,11/17/2023 16:00:00,386.04
11/20/2023 16:00:00,191.45,11/20/2023 16:00:00,454.26,11/20/2023 16:00:00,390.74
11/21/2023 16:00:00,190.64,11/21/2023 16:00:00,453.27,11/21/2023 16:00:00,388.47
